txn_id,coordinator,regions,partitions,generator,restarts,global_log_pos,sent_at,received_at
279885838811136,0,0,0;1,0,0,0;251900;-1;0;246454,1744201288999860166,1744201289204486377
284228050747392,0,0,0;1,0,0,0;255355;-1;0;249896,1744201289135450280,1744201289341312207
218089849356288,0,0;1,1,0,0,1;193686;0;193759,1744201286871118310,1744201287117853636
97912369446913,1,0,1,0,0,0;64562,1744201282164368198,1744201282371878212
274538604527616,0,0,0,0,0,0;247679,1744201288828264380,1744201289033369534
313051576270848,0,0;1,0;1,0,0,0;278198;1;278251;-1;1;272468;0;272560,1744201290072873584,1744201290292836204
253742372880384,0,0;1,1;0,0,0,0;224911;1;224953;-1;0;230461;1;230515,1744201288127341341,1744201288346051188
283643935195136,0,0,1,0,0,0;249464,1744201289118958307,1744201289324246532
342119914930176,0,0;1,0,0,0,1;301195;0;301252,1744201291089685669,1744201291308658902
154601642786817,1,0,1,0,0,0;125721,1744201284318268451,1744201284598373315
87832081203201,1,0,0;1,0,0,0;61268;-1;0;55254,1744201281820604609,1744201282046818844
297220326817793,1,0;1,0,0,0,1;265920;0;265988,1744201289555143754,1744201289757127528
182183922761729,1,0;1,0;1,0,0,0;163278;1;163387;-1;0;157344;1;157456,1744201285473220344,1744201285732104043
228414950735873,1,0,1;0,0,0,0;203195;-1;0;208803,1744201287254880264,1744201287481328049
333985246871552,0,0,1,0,0,0;289130,1744201290797166698,1744201291030052351
186221192019969,1,0,0,0,0,0;167459,1744201285633904912,1744201285882333635
308279867604992,0,0;1,1,0,0,1;268838;0;268921,1744201289906165384,1744201290131600585
276724742881281,1,0;1,1;0,0,0,0;243988;1;244093;-1;0;249434;1;249548,1744201288897990432,1744201289106533777
137967234449409,1,0,1;0,0,0,0;106507;-1;0;112523,1744201283629732468,1744201283885815821
245285582274561,1,0,0,0,0,0;223205,1744201287840351549,1744201288053973302
90928752623617,1,0;1,1;0,0,0,1;57960;0;58006;-1;1;63950;0;63991,1744201281932242529,1744201282144876819
130678674948096,0,0,0,0,0,0;104271,1744201283338078868,1744201283589180668
353681966891009,1,0;1,1;0,0,0,1;302240;0;302360;-1;0;307736;1;307785,1744201291450647684,1744201291620879716
102688373080064,0,0;1,0;1,0,0,0;75411;1;75545;-1;0;69388;1;69517,1744201282324072166,1744201282545260628
252453882691585,1,0,0,0,0,0;229296,1744201288086986132,1744201288297441281
153124174036992,0,0;1,0,0,0,0;129970;1;130147,1744201284255901493,1744201284531784289
249919851986945,1,0;1,0,0,0,0;227307;1;227363,1744201288000047654,1744201288215210641
279782759596032,0,0;1,1,0,0,1;246392;0;246449,1744201288995775581,1744201289203032999
312424511045633,1,0;1,0;1,0,0,0;277809;1;277971;-1;0;272117;1;272240,1744201290055923623,1744201290276525326
219043332096000,0,0;1,0;1,0,0,0;200306;1;200390;-1;1;194517;0;194566,1744201286907665506,1744201287151181198
117463060578304,0,0,0,0,0,0;90035,1744201282832561052,1744201283076361746
124309238448129,1,0,1,0,0,0;91156,1744201283094684233,1744201283337083057
349709122142208,0,0,0,0,0,0;305637,1744201291348662983,1744201291510381468
311599877324800,0,0,1;0,0,0,0;271361;-1;0;277045,1744201290023927604,1744201290243763190
123918396424193,1,0,0,0,0,0;96987,1744201283079921650,1744201283326063426
235484466905089,1,0,1;0,0,0,0;209384;-1;0;215024,1744201287503457057,1744201287728591143
139539192479745,1,0,1;0,0,0,0;108423;-1;0;114311,1744201283692886160,1744201283953535598
282819301474305,1,0;1,1,0,0,1;248886;0;248936,1744201289093228868,1744201289300770943
204483392962560,0,0;1,0;1,0,0,0;185910;1;185990;-1;0;180071;1;180160,1744201286334998691,1744201286594074399
331704619237376,0,0;1,1,0,0,1;287352;0;287428,1744201290719325794,1744201290948424813
355198090346497,1,0,1;0,0,0,0;302990;-1;0;308335,1744201291489999329,1744201291650136960
320782517403649,1,0;1,1,0,0,1;278568;0;278640,1744201290335627120,1744201290559406259
271579372060673,1,0;1,0,0,0,0;245377;1;245461,1744201288727550043,1744201288940728308
342673965711360,0,0;1,0,0,0,0;301694;1;301792,1744201291109701720,1744201291327388364
282638912847873,1,0;1,1,0,0,1;248738;0;248803,1744201289086368099,1744201289295797314
181239029956609,1,0;1,0,0,0,0;162225;1;162347,1744201285435034709,1744201285693582507
250057290940416,0,0;1,0,0,0,1;227395;0;227438,1744201288003268842,1744201288221653006
309207580540928,0,0,1,0,0,0;269504,1744201289937445679,1744201290156118603
278782032216065,1,0,1,0,0,0;245569,1744201288961892914,1744201289168627704
118300579201025,1,0,0,0,0,0;90967,1744201282867752318,1744201283111585261
177768696381440,0,0;1,1;0,0,0,1;152681;0;152752;-1;0;158621;1;158741,1744201285302238069,1744201285554771183
330918640222209,1,0,1,0,0,0;286658,1744201290692329743,1744201290911991827
171085727268865,1,0,1;0,0,0,0;144943;-1;0;150876,1744201285024877587,1744201285289795105
115676354183169,1,0;1,1,0,0,0;82324;1;82448,1744201282775313675,1744201283016899602
183966334189569,1,0;1,0;1,0,0,0;165120;1;165366;-1;0;159232;1;159284,1744201285546101799,1744201285800692469
84795539324929,1,0,1;0,0,0,0;51763;-1;0;57762,1744201281727133649,1744201281930418015
134080289046528,0,0,0;1,0,0,0;108201;-1;0;102246,1744201283475908392,1744201283728522479
243069379149824,0,0;1,1;0,0,0,0;215891;1;215955;-1;0;221470;1;221679,1744201287764824128,1744201287989513270
170389942566912,0,0;1,0;1,0,0,0;150091;1;150401;-1;0;144046;1;144364,1744201284994051352,1744201285260502278
266532785487872,0,0,1;0,0,0,0;235555;-1;0;241137,1744201288558118659,1744201288770991690
236201726443520,0,0;1,0;1,0,0,0;215670;1;215765;-1;1;209976;0;210052,1744201287526813396,1744201287752937312
